citizen_id,first_name,last_name,aadhaar_no,phone,email,address,district_id,language_pref,created_at,gender
1,Varinder,Kaur,043321819600,6338908386,varinder.kaur0@gmail.com,"House 302, Main Road, Jalandhar",4,Hindi,2024-03-22 19:00:00,Female
2,Parminder,Gill,235116155940,9816184959,parminder.gill1@gmail.com,"House 36, Near Bus Stand, Jalandhar",4,English,2024-05-28 09:00:00,Male
3,Ekamjot,Verma,647525534192,7276483503,ekamjot.verma2@gmail.com,"House 206, Main Road, Patiala",1,Hindi,2024-04-18 17:00:00,Male
4,Fateh,Hundal,376724238849,9965328710,fateh.hundal3@gmail.com,"House 322, Old City, Ludhiana",2,Punjabi,2024-11-01 09:00:00,Male
5,Parminder,Sidhu,784801845146,7704828148,parminder.sidhu4@gmail.com,"House 79, Near Bus Stand, Mansa",10,Punjabi,2024-10-03 20:00:00,Other
6,Fateh,Dhaliwal,957015430391,6718227824,fateh.dhaliwal5@gmail.com,"House 217, Near Bus Stand, Faridkot",9,English,2024-12-31 12:00:00,Male
7,Parminder,Sandhu,787133150983,7010310518,parminder.sandhu6@gmail.com,"House 343, Near Bus Stand, Jalandhar",4,Hindi,2024-10-03 10:00:00,Male
8,Balwinder,Aulakh,973763116566,9010651333,balwinder.aulakh7@gmail.com,"House 72, Near Bus Stand, Faridkot",9,Hindi,2024-05-22 15:00:00,Other
9,Jasleen,Sohal,781080132677,7602606474,jasleen.sohal8@gmail.com,"House 491, Old City, Gurdaspur",7,English,2024-03-20 11:00:00,Male
10,Mandeep,Verma,980500978820,6219136193,mandeep.verma9@gmail.com,"House 21, Main Road, Mansa",10,English,2024-08-02 18:00:00,Male
11,Sukhwinder,Mann,543534624751,6799118384,sukhwinder.mann10@gmail.com,"House 452, Near Bus Stand, Amritsar",3,Hindi,2024-07-08 12:00:00,Other
12,Harpreet,Grewal,498084124118,7449353487,harpreet.grewal11@gmail.com,"House 48, Sector 14, Bathinda",5,Punjabi,2024-01-23 08:00:00,Other
13,Navneet,Randhawa,427868011280,8982620450,navneet.randhawa12@gmail.com,"House 350, Main Road, Mohali",6,Punjabi,2024-06-30 20:00:00,Male
14,Simranjit,Aulakh,923226025634,7160733754,simranjit.aulakh13@gmail.com,"House 13, Old City, Jalandhar",4,Punjabi,2024-06-17 12:00:00,Female
15,Ekamjot,Kaur,458685014294,6196556981,ekamjot.kaur14@gmail.com,"House 98, Main Road, Gurdaspur",7,English,2024-12-28 14:00:00,Female
16,Amrit,Dhaliwal,356159514846,8648236629,amrit.dhaliwal15@gmail.com,"House 208, Main Road, Mansa",10,Hindi,2024-06-04 12:00:00,Other
17,Jasleen,Sidhu,957773872148,8134332003,jasleen.sidhu16@gmail.com,"House 436, Old City, Hoshiarpur",8,English,2024-07-31 18:00:00,Other
18,Sukhwinder,Verma,763201632870,7172788957,sukhwinder.verma17@gmail.com,"House 457, Old City, Mansa",10,English,2024-10-07 15:00:00,Female
19,Fateh,Sharma,743487347143,8558122362,fateh.sharma18@gmail.com,"House 213, Sector 14, Jalandhar",4,Punjabi,2024-10-04 15:00:00,Female
20,Parminder,Singh,669096705466,7734670656,parminder.singh19@gmail.com,"House 471, Main Road, Amritsar",3,Hindi,2024-07-20 17:00:00,Male
21,Sukhwinder,Sandhu,162720465375,8646417080,sukhwinder.sandhu20@gmail.com,"House 333, Main Road, Mohali",6,Punjabi,2024-01-16 11:00:00,Male
22,Jasleen,Sohal,923271937452,6241904966,jasleen.sohal21@gmail.com,"House 304, Main Road, Jalandhar",4,Punjabi,2024-12-22 20:00:00,Male
23,Mandeep,Sohal,190586518506,9165726284,mandeep.sohal22@gmail.com,"House 397, Old City, Mansa",10,English,2024-08-11 19:00:00,Other
24,Sukhwinder,Brar,314737996507,8273545494,sukhwinder.brar23@gmail.com,"House 265, Main Road, Faridkot",9,Punjabi,2024-05-03 19:00:00,Male
25,Parminder,Grewal,377701436349,8788568557,parminder.grewal24@gmail.com,"House 129, Main Road, Bathinda",5,Hindi,2024-04-08 13:00:00,Other
26,Gurpreet,Hundal,233749894134,7524082400,gurpreet.hundal25@gmail.com,"House 358, Old City, Faridkot",9,Hindi,2024-02-22 08:00:00,Other
27,Sukhwinder,Brar,775204711671,6229413186,sukhwinder.brar26@gmail.com,"House 405, Near Bus Stand, Mansa",10,English,2024-09-24 14:00:00,Female
28,Rajvir,Aulakh,496499091334,6232812067,rajvir.aulakh27@gmail.com,"House 150, Near Bus Stand, Mansa",10,Hindi,2024-05-27 19:00:00,Female
29,Mandeep,Hundal,134936183242,6024994717,mandeep.hundal28@gmail.com,"House 207, Old City, Bathinda",5,English,2024-08-12 09:00:00,Female
30,Sukhwinder,Singh,594013990490,7787429671,sukhwinder.singh29@gmail.com,"House 210, Sector 11, Hoshiarpur",8,Hindi,2024-12-09 09:00:00,Female
31,Ekamjot,Sharma,674680715451,9808760385,ekamjot.sharma30@gmail.com,"House 321, Main Road, Mansa",10,Hindi,2024-04-14 12:00:00,Male
